,Year,Week,Day,Date,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,HomeTeam,AwayTeam
0,1967,1,Sun,September 17,,Pittsburgh Steelers,Chicago Bears,41,13,393,2,95,6,Pittsburgh Steelers,Chicago Bears
1,1967,1,Sun,September 17,,Baltimore Colts,Atlanta Falcons,38,31,508,2,303,5,Baltimore Colts,Atlanta Falcons
2,1967,1,Sun,September 17,,Green Bay Packers,Detroit Lions,17,17,306,5,233,1,Green Bay Packers,Detroit Lions
3,1967,1,Sun,September 17,,Philadelphia Eagles,Washington Redskins,35,24,426,2,388,1,Philadelphia Eagles,Washington Redskins
4,1967,1,Sun,September 17,,San Francisco 49ers,Minnesota Vikings,27,21,360,1,335,3,Minnesota Vikings,San Francisco 49ers
5,1967,1,Sun,September 17,,Los Angeles Rams,New Orleans Saints,27,13,462,1,299,3,New Orleans Saints,Los Angeles Rams
6,1967,1,Sun,September 17,,Dallas Cowboys,Cleveland Browns,21,14,370,4,221,3,Cleveland Browns,Dallas Cowboys
7,1967,1,Sun,September 17,,New York Giants,St. Louis Cardinals,37,20,336,0,358,6,St. Louis Cardinals,New York Giants
9,1967,2,Fri,September 22,,Los Angeles Rams,Minnesota Vikings,39,3,237,2,224,6,Los Angeles Rams,Minnesota Vikings
10,1967,2,Sun,September 24,,Green Bay Packers,Chicago Bears,13,10,365,8,159,1,Green Bay Packers,Chicago Bears
11,1967,2,Sun,September 24,,San Francisco 49ers,Atlanta Falcons,38,7,517,2,97,1,San Francisco 49ers,Atlanta Falcons
12,1967,2,Sun,September 24,,Baltimore Colts,Philadelphia Eagles,38,6,345,0,299,4,Philadelphia Eagles,Baltimore Colts
13,1967,2,Sun,September 24,,Washington Redskins,New Orleans Saints,30,10,369,1,290,0,New Orleans Saints,Washington Redskins
14,1967,2,Sun,September 24,,Dallas Cowboys,New York Giants,38,24,414,1,266,3,Dallas Cowboys,New York Giants
15,1967,2,Sun,September 24,,Detroit Lions,Cleveland Browns,31,14,461,0,269,3,Detroit Lions,Cleveland Browns
16,1967,2,Sun,September 24,,St. Louis Cardinals,Pittsburgh Steelers,28,14,283,1,237,6,Pittsburgh Steelers,St. Louis Cardinals
18,1967,3,Sun,October 1,,Washington Redskins,New York Giants,38,34,405,2,520,3,Washington Redskins,New York Giants
19,1967,3,Sun,October 1,,Los Angeles Rams,Dallas Cowboys,35,13,356,1,272,4,Dallas Cowboys,Los Angeles Rams
20,1967,3,Sun,October 1,,Cleveland Browns,New Orleans Saints,42,7,421,4,266,5,New Orleans Saints,Cleveland Browns
21,1967,3,Sun,October 1,,St. Louis Cardinals,Detroit Lions,38,28,403,1,310,3,St. Louis Cardinals,Detroit Lions
22,1967,3,Sun,October 1,,Chicago Bears,Minnesota Vikings,17,7,221,0,200,2,Minnesota Vikings,Chicago Bears
23,1967,3,Sun,October 1,,Philadelphia Eagles,Pittsburgh Steelers,34,24,319,1,318,3,Philadelphia Eagles,Pittsburgh Steelers
24,1967,3,Sun,October 1,,Green Bay Packers,Atlanta Falcons,23,0,382,2,58,2,Green Bay Packers,Atlanta Falcons
25,1967,3,Sun,October 1,,Baltimore Colts,San Francisco 49ers,41,7,524,0,240,2,Baltimore Colts,San Francisco 49ers
27,1967,4,Sat,October 7,,Cleveland Browns,Pittsburgh Steelers,21,10,361,3,278,4,Cleveland Browns,Pittsburgh Steelers
28,1967,4,Sun,October 8,,New York Giants,New Orleans Saints,27,21,535,1,210,1,New York Giants,New Orleans Saints
29,1967,4,Sun,October 8,,Dallas Cowboys,Washington Redskins,17,14,320,2,253,3,Washington Redskins,Dallas Cowboys
30,1967,4,Sun,October 8,,Green Bay Packers,Detroit Lions,27,17,249,4,122,5,Detroit Lions,Green Bay Packers
31,1967,4,Sun,October 8,,St. Louis Cardinals,Minnesota Vikings,34,24,412,3,337,3,Minnesota Vikings,St. Louis Cardinals
32,1967,4,Sun,October 8,,San Francisco 49ers,Los Angeles Rams,27,24,335,3,253,6,Los Angeles Rams,San Francisco 49ers
33,1967,4,Sun,October 8,,Baltimore Colts,Chicago Bears,24,3,219,4,272,5,Chicago Bears,Baltimore Colts
34,1967,4,Sun,October 8,,Philadelphia Eagles,Atlanta Falcons,38,7,380,0,308,6,Atlanta Falcons,Philadelphia Eagles
36,1967,5,Sun,October 15,,Chicago Bears,Detroit Lions,14,3,265,3,168,3,Chicago Bears,Detroit Lions
37,1967,5,Sun,October 15,,Los Angeles Rams,Baltimore Colts,24,24,410,1,368,2,Baltimore Colts,Los Angeles Rams
38,1967,5,Sun,October 15,,Washington Redskins,Atlanta Falcons,20,20,415,3,323,2,Atlanta Falcons,Washington Redskins
39,1967,5,Sun,October 15,,New York Giants,Pittsburgh Steelers,27,24,381,2,259,2,Pittsburgh Steelers,New York Giants
40,1967,5,Sun,October 15,,Minnesota Vikings,Green Bay Packers,10,7,183,2,268,3,Green Bay Packers,Minnesota Vikings
41,1967,5,Sun,October 15,,Dallas Cowboys,New Orleans Saints,14,10,234,3,207,3,Dallas Cowboys,New Orleans Saints
42,1967,5,Sun,October 15,,Cleveland Browns,St. Louis Cardinals,20,16,223,1,349,5,Cleveland Browns,St. Louis Cardinals
43,1967,5,Sun,October 15,,San Francisco 49ers,Philadelphia Eagles,28,27,386,0,244,0,Philadelphia Eagles,San Francisco 49ers
45,1967,6,Sun,October 22,,San Francisco 49ers,New Orleans Saints,27,13,318,1,200,2,San Francisco 49ers,New Orleans Saints
46,1967,6,Sun,October 22,,Cleveland Browns,Chicago Bears,24,0,347,1,136,2,Cleveland Browns,Chicago Bears
47,1967,6,Sun,October 22,,Minnesota Vikings,Baltimore Colts,20,20,310,0,343,1,Minnesota Vikings,Baltimore Colts
48,1967,6,Sun,October 22,,Detroit Lions,Atlanta Falcons,24,3,250,1,223,1,Detroit Lions,Atlanta Falcons
49,1967,6,Sun,October 22,,Green Bay Packers,New York Giants,48,21,397,0,324,4,New York Giants,Green Bay Packers
50,1967,6,Sun,October 22,,St. Louis Cardinals,Philadelphia Eagles,48,14,416,0,319,2,St. Louis Cardinals,Philadelphia Eagles
51,1967,6,Sun,October 22,,Dallas Cowboys,Pittsburgh Steelers,24,21,378,1,379,2,Pittsburgh Steelers,Dallas Cowboys
52,1967,6,Sun,October 22,,Washington Redskins,Los Angeles Rams,28,28,354,0,438,1,Los Angeles Rams,Washington Redskins
54,1967,7,Sun,October 29,,New York Giants,Cleveland Browns,38,34,386,2,369,4,New York Giants,Cleveland Browns
55,1967,7,Sun,October 29,,Philadelphia Eagles,Dallas Cowboys,21,14,341,6,306,5,Philadelphia Eagles,Dallas Cowboys
56,1967,7,Sun,October 29,,Pittsburgh Steelers,New Orleans Saints,14,10,267,4,308,1,New Orleans Saints,Pittsburgh Steelers
57,1967,7,Sun,October 29,,Los Angeles Rams,Chicago Bears,28,17,309,3,180,4,Chicago Bears,Los Angeles Rams
58,1967,7,Sun,October 29,,Baltimore Colts,Washington Redskins,17,13,351,2,322,3,Washington Redskins,Baltimore Colts
59,1967,7,Sun,October 29,,Atlanta Falcons,Minnesota Vikings,21,20,186,2,314,2,Atlanta Falcons,Minnesota Vikings
60,1967,7,Sun,October 29,,Detroit Lions,San Francisco 49ers,45,3,391,2,173,6,San Francisco 49ers,Detroit Lions
61,1967,7,Mon,October 30,,Green Bay Packers,St. Louis Cardinals,31,23,246,2,405,2,St. Louis Cardinals,Green Bay Packers
63,1967,8,Sun,November 5,,Baltimore Colts,Green Bay Packers,13,10,237,2,265,1,Baltimore Colts,Green Bay Packers
64,1967,8,Sun,November 5,,Dallas Cowboys,Atlanta Falcons,37,7,324,2,223,5,Dallas Cowboys,Atlanta Falcons
65,1967,8,Sun,November 5,,Los Angeles Rams,San Francisco 49ers,17,7,152,0,257,3,San Francisco 49ers,Los Angeles Rams
66,1967,8,Sun,November 5,,Cleveland Browns,Pittsburgh Steelers,34,14,313,1,301,3,Pittsburgh Steelers,Cleveland Browns
67,1967,8,Sun,November 5,,St. Louis Cardinals,Washington Redskins,27,21,414,2,219,3,Washington Redskins,St. Louis Cardinals
68,1967,8,Sun,November 5,,New Orleans Saints,Philadelphia Eagles,31,24,249,2,359,2,New Orleans Saints,Philadelphia Eagles
69,1967,8,Sun,November 5,,Minnesota Vikings,New York Giants,27,24,304,3,403,2,Minnesota Vikings,New York Giants
70,1967,8,Sun,November 5,,Chicago Bears,Detroit Lions,27,13,180,2,174,4,Detroit Lions,Chicago Bears
72,1967,9,Sun,November 12,,Minnesota Vikings,Detroit Lions,10,10,177,1,366,6,Minnesota Vikings,Detroit Lions
73,1967,9,Sun,November 12,,Los Angeles Rams,Philadelphia Eagles,33,17,394,4,257,5,Los Angeles Rams,Philadelphia Eagles
74,1967,9,Sun,November 12,,Chicago Bears,New York Giants,34,7,264,1,161,4,Chicago Bears,New York Giants
75,1967,9,Sun,November 12,,Baltimore Colts,Atlanta Falcons,49,7,595,2,177,3,Atlanta Falcons,Baltimore Colts
76,1967,9,Sun,November 12,,Dallas Cowboys,New Orleans Saints,27,10,380,2,211,3,New Orleans Saints,Dallas Cowboys
77,1967,9,Sun,November 12,,Washington Redskins,San Francisco 49ers,31,28,420,3,294,3,Washington Redskins,San Francisco 49ers
78,1967,9,Sun,November 12,,Green Bay Packers,Cleveland Browns,55,7,456,1,228,7,Green Bay Packers,Cleveland Browns
79,1967,9,Sun,November 12,,Pittsburgh Steelers,St. Louis Cardinals,14,14,274,1,258,3,St. Louis Cardinals,Pittsburgh Steelers
81,1967,10,Sun,November 19,,Green Bay Packers,San Francisco 49ers,13,0,297,1,308,2,Green Bay Packers,San Francisco 49ers
82,1967,10,Sun,November 19,,Philadelphia Eagles,New Orleans Saints,48,21,421,3,309,5,Philadelphia Eagles,New Orleans Saints
83,1967,10,Sun,November 19,,Baltimore Colts,Detroit Lions,41,7,351,1,261,3,Baltimore Colts,Detroit Lions
84,1967,10,Sun,November 19,,Chicago Bears,St. Louis Cardinals,30,3,461,3,230,9,Chicago Bears,St. Louis Cardinals
85,1967,10,Sun,November 19,,New York Giants,Pittsburgh Steelers,28,20,238,4,281,3,New York Giants,Pittsburgh Steelers
86,1967,10,Sun,November 19,,Los Angeles Rams,Atlanta Falcons,31,3,405,2,238,5,Atlanta Falcons,Los Angeles Rams
87,1967,10,Sun,November 19,,Washington Redskins,Dallas Cowboys,27,20,314,2,446,5,Dallas Cowboys,Washington Redskins
88,1967,10,Sun,November 19,,Cleveland Browns,Minnesota Vikings,14,10,235,2,204,3,Cleveland Browns,Minnesota Vikings
90,1967,11,Thu,November 23,,Los Angeles Rams,Detroit Lions,31,7,263,1,108,4,Detroit Lions,Los Angeles Rams
91,1967,11,Thu,November 23,,Dallas Cowboys,St. Louis Cardinals,46,21,436,1,317,4,Dallas Cowboys,St. Louis Cardinals
92,1967,11,Sun,November 26,,Cleveland Browns,Washington Redskins,42,37,424,1,481,1,Cleveland Browns,Washington Redskins
93,1967,11,Sun,November 26,,Minnesota Vikings,Pittsburgh Steelers,41,27,212,5,117,6,Pittsburgh Steelers,Minnesota Vikings
94,1967,11,Sun,November 26,,Baltimore Colts,San Francisco 49ers,26,9,343,2,165,4,San Francisco 49ers,Baltimore Colts
95,1967,11,Sun,November 26,,Green Bay Packers,Chicago Bears,17,13,245,0,249,3,Chicago Bears,Green Bay Packers
96,1967,11,Sun,November 26,,New York Giants,Philadelphia Eagles,44,7,444,0,172,4,New York Giants,Philadelphia Eagles
97,1967,11,Sun,November 26,,New Orleans Saints,Atlanta Falcons,27,24,371,3,269,1,New Orleans Saints,Atlanta Falcons
99,1967,12,Sun,December 3,,Chicago Bears,San Francisco 49ers,28,14,220,2,226,2,San Francisco 49ers,Chicago Bears
100,1967,12,Sun,December 3,,Los Angeles Rams,Atlanta Falcons,20,3,309,3,154,2,Los Angeles Rams,Atlanta Falcons
101,1967,12,Sun,December 3,,St. Louis Cardinals,New Orleans Saints,31,20,310,5,238,3,St. Louis Cardinals,New Orleans Saints
102,1967,12,Sun,December 3,,Green Bay Packers,Minnesota Vikings,30,27,276,3,276,3,Minnesota Vikings,Green Bay Packers
103,1967,12,Sun,December 3,,Cleveland Browns,New York Giants,24,14,215,1,343,2,Cleveland Browns,New York Giants
104,1967,12,Sun,December 3,,Washington Redskins,Philadelphia Eagles,35,35,460,3,365,4,Washington Redskins,Philadelphia Eagles
105,1967,12,Sun,December 3,,Pittsburgh Steelers,Detroit Lions,24,14,330,1,254,3,Detroit Lions,Pittsburgh Steelers
106,1967,12,Sun,December 3,,Baltimore Colts,Dallas Cowboys,23,17,310,4,223,4,Baltimore Colts,Dallas Cowboys
108,1967,13,Sat,December 9,,Los Angeles Rams,Green Bay Packers,27,24,324,3,218,2,Los Angeles Rams,Green Bay Packers
109,1967,13,Sun,December 10,,Dallas Cowboys,Philadelphia Eagles,38,17,325,4,102,5,Dallas Cowboys,Philadelphia Eagles
110,1967,13,Sun,December 10,,Baltimore Colts,New Orleans Saints,30,10,252,1,268,4,Baltimore Colts,New Orleans Saints
111,1967,13,Sun,December 10,,Minnesota Vikings,Chicago Bears,10,10,212,1,298,0,Chicago Bears,Minnesota Vikings
112,1967,13,Sun,December 10,,San Francisco 49ers,Atlanta Falcons,34,28,468,3,297,3,Atlanta Falcons,San Francisco 49ers
113,1967,13,Sun,December 10,,Cleveland Browns,St. Louis Cardinals,20,16,131,2,295,2,St. Louis Cardinals,Cleveland Browns
114,1967,13,Sun,December 10,,Washington Redskins,Pittsburgh Steelers,15,10,246,3,280,5,Pittsburgh Steelers,Washington Redskins
115,1967,13,Sun,December 10,,Detroit Lions,New York Giants,30,7,306,1,149,1,New York Giants,Detroit Lions
117,1967,14,Sat,December 16,,San Francisco 49ers,Dallas Cowboys,24,16,371,4,271,4,San Francisco 49ers,Dallas Cowboys
118,1967,14,Sun,December 17,,Philadelphia Eagles,Cleveland Browns,28,24,340,2,324,2,Philadelphia Eagles,Cleveland Browns
119,1967,14,Sun,December 17,,Detroit Lions,Minnesota Vikings,14,3,134,4,190,3,Detroit Lions,Minnesota Vikings
120,1967,14,Sun,December 17,,Los Angeles Rams,Baltimore Colts,34,10,328,1,262,2,Los Angeles Rams,Baltimore Colts
121,1967,14,Sun,December 17,,New Orleans Saints,Washington Redskins,30,14,364,2,331,3,Washington Redskins,New Orleans Saints
122,1967,14,Sun,December 17,,New York Giants,St. Louis Cardinals,37,14,418,2,330,3,New York Giants,St. Louis Cardinals
123,1967,14,Sun,December 17,,Chicago Bears,Atlanta Falcons,23,14,293,0,157,1,Atlanta Falcons,Chicago Bears
124,1967,14,Sun,December 17,,Pittsburgh Steelers,Green Bay Packers,24,17,194,3,309,5,Green Bay Packers,Pittsburgh Steelers
126,1967,Division,Sat,December 23,,Green Bay Packers,Los Angeles Rams,28,7,374,4,217,1,Green Bay Packers,Los Angeles Rams
127,1967,Division,Sun,December 24,,Dallas Cowboys,Cleveland Browns,52,14,401,2,322,1,Dallas Cowboys,Cleveland Browns
128,1967,Champ,Sun,December 31,,Green Bay Packers,Dallas Cowboys,21,17,195,2,192,2,Green Bay Packers,Dallas Cowboys
129,1967,SuperBowl,Sun,January 14,,Green Bay Packers,Oakland Raiders,33,14,322,0,293,3,Green Bay Packers,Oakland Raiders
130,1968,1,Sat,September 14,,Minnesota Vikings,Atlanta Falcons,47,7,404,2,234,4,Minnesota Vikings,Atlanta Falcons
131,1968,1,Sun,September 15,,Washington Redskins,Chicago Bears,38,28,337,1,316,3,Chicago Bears,Washington Redskins
132,1968,1,Sun,September 15,,Cleveland Browns,New Orleans Saints,24,10,338,3,208,3,New Orleans Saints,Cleveland Browns
133,1968,1,Sun,September 15,,Green Bay Packers,Philadelphia Eagles,30,13,378,1,278,1,Green Bay Packers,Philadelphia Eagles
134,1968,1,Sun,September 15,,Baltimore Colts,San Francisco 49ers,27,10,346,1,272,3,Baltimore Colts,San Francisco 49ers
135,1968,1,Sun,September 15,,Dallas Cowboys,Detroit Lions,59,13,542,0,257,4,Dallas Cowboys,Detroit Lions
136,1968,1,Sun,September 15,,New York Giants,Pittsburgh Steelers,34,20,331,2,324,4,Pittsburgh Steelers,New York Giants
137,1968,1,Mon,September 16,,Los Angeles Rams,St. Louis Cardinals,24,13,238,1,244,3,St. Louis Cardinals,Los Angeles Rams
139,1968,2,Sun,September 22,,Los Angeles Rams,Pittsburgh Steelers,45,10,378,0,258,3,Los Angeles Rams,Pittsburgh Steelers
140,1968,2,Sun,September 22,,San Francisco 49ers,St. Louis Cardinals,35,17,395,3,228,4,San Francisco 49ers,St. Louis Cardinals
141,1968,2,Sun,September 22,,New York Giants,Philadelphia Eagles,34,25,377,1,326,3,Philadelphia Eagles,New York Giants
142,1968,2,Sun,September 22,,Detroit Lions,Chicago Bears,42,0,468,2,167,10,Detroit Lions,Chicago Bears
143,1968,2,Sun,September 22,,Baltimore Colts,Atlanta Falcons,28,20,388,6,250,2,Atlanta Falcons,Baltimore Colts
144,1968,2,Sun,September 22,,Dallas Cowboys,Cleveland Browns,28,7,346,1,250,2,Dallas Cowboys,Cleveland Browns
145,1968,2,Sun,September 22,,Minnesota Vikings,Green Bay Packers,26,13,242,1,242,2,Green Bay Packers,Minnesota Vikings
146,1968,2,Sun,September 22,,New Orleans Saints,Washington Redskins,37,17,366,3,228,3,New Orleans Saints,Washington Redskins
148,1968,3,Sun,September 29,,Dallas Cowboys,Philadelphia Eagles,45,13,418,2,263,7,Philadelphia Eagles,Dallas Cowboys
149,1968,3,Sun,September 29,,St. Louis Cardinals,New Orleans Saints,21,20,219,1,323,1,New Orleans Saints,St. Louis Cardinals
150,1968,3,Sun,September 29,,New York Giants,Washington Redskins,48,21,377,1,376,5,New York Giants,Washington Redskins
151,1968,3,Sun,September 29,,Chicago Bears,Minnesota Vikings,27,17,409,2,279,3,Minnesota Vikings,Chicago Bears
152,1968,3,Sun,September 29,,San Francisco 49ers,Atlanta Falcons,28,13,374,1,227,1,San Francisco 49ers,Atlanta Falcons
153,1968,3,Sun,September 29,,Baltimore Colts,Pittsburgh Steelers,41,7,276,1,213,4,Pittsburgh Steelers,Baltimore Colts
154,1968,3,Sun,September 29,,Los Angeles Rams,Cleveland Browns,24,6,364,2,129,3,Cleveland Browns,Los Angeles Rams
155,1968,3,Sun,September 29,,Detroit Lions,Green Bay Packers,23,17,343,1,324,3,Green Bay Packers,Detroit Lions
157,1968,4,Sat,October 5,,Cleveland Browns,Pittsburgh Steelers,31,24,374,3,272,2,Cleveland Browns,Pittsburgh Steelers
158,1968,4,Sun,October 6,,New York Giants,New Orleans Saints,38,21,261,1,314,4,New York Giants,New Orleans Saints
159,1968,4,Sun,October 6,,Washington Redskins,Philadelphia Eagles,17,14,320,1,221,4,Washington Redskins,Philadelphia Eagles
160,1968,4,Sun,October 6,,Minnesota Vikings,Detroit Lions,24,10,265,0,247,1,Minnesota Vikings,Detroit Lions
161,1968,4,Sun,October 6,,Los Angeles Rams,San Francisco 49ers,24,10,275,2,158,1,Los Angeles Rams,San Francisco 49ers
162,1968,4,Sun,October 6,,Dallas Cowboys,St. Louis Cardinals,27,10,297,1,251,2,St. Louis Cardinals,Dallas Cowboys
163,1968,4,Sun,October 6,,Baltimore Colts,Chicago Bears,28,7,460,3,225,1,Baltimore Colts,Chicago Bears
164,1968,4,Sun,October 6,,Green Bay Packers,Atlanta Falcons,38,7,470,1,154,5,Atlanta Falcons,Green Bay Packers
166,1968,5,Sun,October 13,,Los Angeles Rams,Green Bay Packers,16,14,190,1,197,5,Green Bay Packers,Los Angeles Rams
167,1968,5,Sun,October 13,,Baltimore Colts,San Francisco 49ers,42,14,278,1,392,4,San Francisco 49ers,Baltimore Colts
168,1968,5,Sun,October 13,,Detroit Lions,Chicago Bears,28,10,405,1,241,2,Chicago Bears,Detroit Lions
169,1968,5,Sun,October 13,,Atlanta Falcons,New York Giants,24,21,322,0,421,3,Atlanta Falcons,New York Giants
170,1968,5,Sun,October 13,,Dallas Cowboys,Philadelphia Eagles,34,14,414,1,164,5,Dallas Cowboys,Philadelphia Eagles
171,1968,5,Sun,October 13,,Washington Redskins,Pittsburgh Steelers,16,13,294,2,287,3,Washington Redskins,Pittsburgh Steelers
172,1968,5,Sun,October 13,,St. Louis Cardinals,Cleveland Browns,27,21,282,2,333,2,Cleveland Browns,St. Louis Cardinals
173,1968,5,Sun,October 13,,New Orleans Saints,Minnesota Vikings,20,17,207,7,190,4,New Orleans Saints,Minnesota Vikings
175,1968,6,Sun,October 20,,St. Louis Cardinals,Washington Redskins,41,14,321,1,313,2,St. Louis Cardinals,Washington Redskins
176,1968,6,Sun,October 20,,Chicago Bears,Philadelphia Eagles,29,16,258,1,190,3,Philadelphia Eagles,Chicago Bears
177,1968,6,Sun,October 20,,New Orleans Saints,Pittsburgh Steelers,16,12,273,1,301,2,Pittsburgh Steelers,New Orleans Saints
178,1968,6,Sun,October 20,,Green Bay Packers,Detroit Lions,14,14,213,3,282,4,Detroit Lions,Green Bay Packers
179,1968,6,Sun,October 20,,Los Angeles Rams,Atlanta Falcons,27,14,419,4,133,3,Los Angeles Rams,Atlanta Falcons
180,1968,6,Sun,October 20,,Dallas Cowboys,Minnesota Vikings,20,7,177,2,274,3,Minnesota Vikings,Dallas Cowboys
181,1968,6,Sun,October 20,,Cleveland Browns,Baltimore Colts,30,20,305,1,212,5,Baltimore Colts,Cleveland Browns
182,1968,6,Sun,October 20,,San Francisco 49ers,New York Giants,26,10,393,1,272,3,New York Giants,San Francisco 49ers
184,1968,7,Sun,October 27,,New York Giants,Washington Redskins,13,10,297,2,142,2,Washington Redskins,New York Giants
185,1968,7,Sun,October 27,,St. Louis Cardinals,New Orleans Saints,31,17,392,2,301,1,St. Louis Cardinals,New Orleans Saints
186,1968,7,Sun,October 27,,Baltimore Colts,Los Angeles Rams,27,10,364,4,148,4,Baltimore Colts,Los Angeles Rams
187,1968,7,Sun,October 27,,Pittsburgh Steelers,Philadelphia Eagles,6,3,249,1,287,2,Pittsburgh Steelers,Philadelphia Eagles
188,1968,7,Sun,October 27,,Chicago Bears,Minnesota Vikings,26,24,418,1,274,1,Chicago Bears,Minnesota Vikings
189,1968,7,Sun,October 27,,San Francisco 49ers,Detroit Lions,14,7,332,2,219,4,Detroit Lions,San Francisco 49ers
190,1968,7,Sun,October 27,,Cleveland Browns,Atlanta Falcons,30,7,444,0,284,2,Cleveland Browns,Atlanta Falcons
191,1968,7,Mon,October 28,,Green Bay Packers,Dallas Cowboys,28,17,322,1,365,4,Dallas Cowboys,Green Bay Packers
193,1968,8,Sun,November 3,,Cleveland Browns,San Francisco 49ers,33,21,362,2,311,5,San Francisco 49ers,Cleveland Browns
194,1968,8,Sun,November 3,,Los Angeles Rams,Detroit Lions,10,7,286,2,216,3,Los Angeles Rams,Detroit Lions
195,1968,8,Sun,November 3,,Pittsburgh Steelers,Atlanta Falcons,41,21,402,1,343,5,Atlanta Falcons,Pittsburgh Steelers
196,1968,8,Sun,November 3,,Dallas Cowboys,New Orleans Saints,17,3,405,7,243,4,New Orleans Saints,Dallas Cowboys
197,1968,8,Sun,November 3,,St. Louis Cardinals,Philadelphia Eagles,45,17,362,1,342,1,Philadelphia Eagles,St. Louis Cardinals
198,1968,8,Sun,November 3,,Baltimore Colts,New York Giants,26,0,328,1,215,3,New York Giants,Baltimore Colts
199,1968,8,Sun,November 3,,Minnesota Vikings,Washington Redskins,27,14,317,3,133,4,Minnesota Vikings,Washington Redskins
200,1968,8,Sun,November 3,,Chicago Bears,Green Bay Packers,13,10,328,3,242,1,Green Bay Packers,Chicago Bears
202,1968,9,Sun,November 10,,Chicago Bears,San Francisco 49ers,27,19,449,1,255,4,Chicago Bears,San Francisco 49ers
203,1968,9,Sun,November 10,,Minnesota Vikings,Green Bay Packers,14,10,226,1,263,4,Minnesota Vikings,Green Bay Packers
204,1968,9,Sun,November 10,,Cleveland Browns,New Orleans Saints,35,17,467,6,284,3,Cleveland Browns,New Orleans Saints
205,1968,9,Sun,November 10,,Los Angeles Rams,Atlanta Falcons,17,10,250,1,232,3,Atlanta Falcons,Los Angeles Rams
206,1968,9,Sun,November 10,,New York Giants,Dallas Cowboys,27,21,293,1,349,5,Dallas Cowboys,New York Giants
207,1968,9,Sun,November 10,,Washington Redskins,Philadelphia Eagles,16,10,267,2,276,2,Philadelphia Eagles,Washington Redskins
208,1968,9,Sun,November 10,,Pittsburgh Steelers,St. Louis Cardinals,28,28,363,0,425,2,St. Louis Cardinals,Pittsburgh Steelers
209,1968,9,Sun,November 10,,Baltimore Colts,Detroit Lions,27,10,354,1,308,0,Detroit Lions,Baltimore Colts
211,1968,10,Sun,November 17,,Baltimore Colts,St. Louis Cardinals,27,0,426,3,202,5,Baltimore Colts,St. Louis Cardinals
212,1968,10,Sun,November 17,,Minnesota Vikings,Detroit Lions,13,6,252,3,131,1,Detroit Lions,Minnesota Vikings
213,1968,10,Sun,November 17,,New York Giants,Philadelphia Eagles,7,6,274,2,107,3,New York Giants,Philadelphia Eagles
214,1968,10,Sun,November 17,,Green Bay Packers,New Orleans Saints,29,7,289,2,136,4,Green Bay Packers,New Orleans Saints
215,1968,10,Sun,November 17,,Cleveland Browns,Pittsburgh Steelers,45,24,399,3,353,7,Pittsburgh Steelers,Cleveland Browns
216,1968,10,Sun,November 17,,Atlanta Falcons,Chicago Bears,16,13,300,1,302,2,Chicago Bears,Atlanta Falcons
217,1968,10,Sun,November 17,,Dallas Cowboys,Washington Redskins,44,24,515,2,289,2,Washington Redskins,Dallas Cowboys
218,1968,10,Sun,November 17,,San Francisco 49ers,Los Angeles Rams,20,20,338,4,399,3,San Francisco 49ers,Los Angeles Rams
220,1968,11,Sun,November 24,,Baltimore Colts,Minnesota Vikings,21,9,413,3,229,2,Baltimore Colts,Minnesota Vikings
221,1968,11,Sun,November 24,,Dallas Cowboys,Chicago Bears,34,3,343,2,147,3,Chicago Bears,Dallas Cowboys
222,1968,11,Sun,November 24,,San Francisco 49ers,Pittsburgh Steelers,45,28,399,1,351,5,Pittsburgh Steelers,San Francisco 49ers
223,1968,11,Sun,November 24,,New Orleans Saints,Detroit Lions,20,20,262,3,274,2,Detroit Lions,New Orleans Saints
224,1968,11,Sun,November 24,,Los Angeles Rams,New York Giants,24,21,311,4,273,3,Los Angeles Rams,New York Giants
225,1968,11,Sun,November 24,,Green Bay Packers,Washington Redskins,27,7,388,3,167,3,Washington Redskins,Green Bay Packers
226,1968,11,Sun,November 24,,Cleveland Browns,Philadelphia Eagles,47,13,438,0,342,6,Cleveland Browns,Philadelphia Eagles
227,1968,11,Sun,November 24,,St. Louis Cardinals,Atlanta Falcons,17,12,260,3,162,1,St. Louis Cardinals,Atlanta Falcons
229,1968,12,Thu,November 28,,Philadelphia Eagles,Detroit Lions,12,0,161,1,168,4,Detroit Lions,Philadelphia Eagles
230,1968,12,Thu,November 28,,Dallas Cowboys,Washington Redskins,29,20,285,1,248,5,Dallas Cowboys,Washington Redskins
231,1968,12,Sun,December 1,,Los Angeles Rams,Minnesota Vikings,31,3,324,2,127,5,Minnesota Vikings,Los Angeles Rams
232,1968,12,Sun,December 1,,San Francisco 49ers,Green Bay Packers,27,20,352,1,217,1,San Francisco 49ers,Green Bay Packers
233,1968,12,Sun,December 1,,Cleveland Browns,New York Giants,45,10,378,2,182,5,Cleveland Browns,New York Giants
234,1968,12,Sun,December 1,,St. Louis Cardinals,Pittsburgh Steelers,20,10,322,2,167,3,Pittsburgh Steelers,St. Louis Cardinals
235,1968,12,Sun,December 1,,Baltimore Colts,Atlanta Falcons,44,0,386,1,143,6,Baltimore Colts,Atlanta Falcons
236,1968,12,Sun,December 1,,Chicago Bears,New Orleans Saints,23,17,259,3,292,5,New Orleans Saints,Chicago Bears
