Weather_Element,Dec,Feb,Jan,Nov,Oct,Sep
Fair,370,5,84,332,322,262
Fog/Mist,4,0,1,4,1,2
Rain - Heavy,1,0,0,5,0,8
Rain - Light,41,1,7,52,38,61
Rain - Normal,5,0,11,10,15,15
Snow - Heavy,6,0,2,2,0,0
Snow - Light,2,0,0,0,0,0
Snow - Normal,4,0,2,0,0,0
